date,name,type,moving_time_s,elapsed_time_s,distance_m,elevation_m,calories,training_load,intensity,avg_hr,max_hr,avg_power_w,np_w
2015-03-29,Lunch Ride,Ride,37,256,202.29,0.0,4,,,,,,
2015-03-29,Lunch Ride,Ride,11685,12013,133579.45,1181.0,4478,,,,,,
2015-09-23,,,,,,,,,,,,,
2016-02-04,Lunch Ride,Ride,3968,4005,25423.96,193.0,726,,,,,,
2016-02-15,Lunch Ride,Ride,6349,6349,,308.0,1465,,,,,,
2016-02-18,Lunch Ride,Ride,8400,8705,49024.49,610.0,1335,,,,,,
2016-02-22,Lunch Ride,Ride,7207,7207,,752.0,1214,,,,,,
2016-03-02,Morning Ride,Ride,10100,10100,,1166.0,1725,,,,,,
2016-03-19,Morning Ride,Ride,6079,6079,,989.0,671,,,,,,
2016-03-21,Morning Ride,Ride,9981,9981,,2335.0,1834,,,,,,
2016-03-23,Afternoon Ride,Ride,7579,7916,46333.34,553.0,1307,,,,,,
2016-03-24,Morning Ride,Ride,14898,14898,,2131.0,2703,,,,,,
2016-03-27,Afternoon Ride,Ride,8415,8415,,1693.0,1696,,,,,,
2016-03-29,Morning Ride,Ride,13705,13705,,1425.0,3718,,,,,,
2016-04-10,Morning Ride,Ride,12524,12524,,1874.0,2388,,,,,,
2016-04-18,Lunch Ride,Ride,10087,10568,74675.49,618.0,2437,,,,,,
2016-04-22,Morning Ride,Ride,15678,15940,115144.34,1593.0,3648,,,,,,
2016-04-25,Lunch Ride,Ride,19137,22632,133642.6,1440.0,4015,,,,,,
2016-04-29,Morning Ride,Ride,10799,11049,84265.08,875.0,2775,,,,,,
2016-05-03,Afternoon Ride,Ride,4782,5396,38395.43,169.0,1229,,,,,,
2016-05-08,Morning Ride,Ride,10908,11389,100005.8,196.0,3606,,,,,,
2016-05-14,Lunch Ride,Ride,10076,10243,64255.18,1489.0,2618,,,,,,
2016-05-16,Morning Ride,Ride,23543,26094,172537.42,1789.0,5914,,,,,,
2016-05-21,Morning Ride,Ride,20763,23389,111062.08,2688.0,4641,,,,,,
2016-05-28,Morning Ride,Ride,12451,13480,104208.12,748.0,3912,,,,,,
2016-06-02,Afternoon Ride,Ride,9441,9650,77994.87,697.0,2906,,,,,,
2016-06-05,Morning Ride,Ride,34132,40092,288780.8,2123.0,10327,10,10.251245,125,147,,
2016-07-04,Afternoon Ride,Ride,4902,7362,33131.6,320.0,1088,,,,,,
2016-07-06,Evening Ride,Ride,2769,2779,28637.47,101.0,1021,,,,,,
2016-07-07,Afternoon Ride,Ride,137,534,901.49,57.0,65,,,,,,
2016-07-09,Morning Ride,Ride,22195,27401,123582.04,3227.0,5323,,,,,,
2016-07-14,Morning Ride,Ride,4734,5448,28345.08,662.0,1185,,,,,,
2016-07-16,Morning Ride,Ride,9023,11820,54095.39,1366.0,2433,,,,,,
2016-08-03,Evening Ride,Ride,3799,4044,34320.31,40.0,1095,,,,,,
2016-08-12,Morning Ride,Ride,7718,8236,51159.49,922.0,2125,,,,,,
2016-08-17,Morning Ride,Ride,18094,19022,112533.44,1931.0,4510,,,,,,
2017-01-29,Morning Ride,Ride,11581,14272,88122.12,75.0,2517,,,,,,
2017-02-04,Morning Ride,Ride,8137,8420,69973.56,97.0,2389,,,,,,
