date,name,type,moving_time_s,elapsed_time_s,distance_m,elevation_m,calories,training_load,intensity,avg_hr,max_hr,avg_power_w,np_w,source,load_method,strava_id
2015-09-22,To Rome With Bike / 1,Ride,25265,40239,191897.0,850.0,3636,403,,,,129,,strava_backfill,durata,5080978814
2015-09-23,Morning Ride,Ride,30632,30632,212885.5,1410.6,3575,489,,,,105,,strava_backfill,durata,19034567662
2015-09-24,To Rome With Bike / 3,Ride,23507,36516,177189.5,1151.0,3448,375,,,,132,,strava_backfill,durata,5081022631
2015-09-25,To Rome With Bike / 4,Ride,15129,19368,107130.9,610.0,1969,241,,,,117,,strava_backfill,durata,5081023052
2016-02-15,Giro dell'ora di pranzo,Ride,5407,6349,45472.0,11.6,0,86,,,,,,strava_backfill,durata,546625004
2016-02-22,Giro pomeridiano,Ride,5926,7207,42816.5,471.4,0,95,,,,,,strava_backfill,durata,546624429
2016-03-02,Giro mattutino,Ride,9293,10100,60642.7,871.4,0,148,,,,,,strava_backfill,durata,546625467
2016-03-19,Giro mattutino,Ride,4941,6079,23607.9,577.9,0,79,,,,,,strava_backfill,durata,546625224
2016-03-21,Giro mattutino,Ride,9483,9981,61930.5,1412.4,0,151,,,,,,strava_backfill,durata,546626383
2016-03-24,Giro mattutino,Ride,14728,14898,93163.3,2243.0,0,235,,,,,,strava_backfill,durata,546624176
2016-03-27,Giro pomeridiano,Ride,8240,8415,56403.2,1065.1,0,131,,,,,,strava_backfill,durata,546623694
2016-04-10,Giro mattutino,Ride,11194,12524,78757.7,1218.5,0,179,,,,,,strava_backfill,durata,542023294
2016-04-15,Morning Ride,Ride,13316,13394,109068.0,2095.1,0,212,,,,,,strava_backfill,durata,545904869
2016-05-03,Zogno - Miragolo - Perello,Ride,8779,9233,39936.7,2099.7,2176,140,,,,222,,strava_backfill,durata,564287763
2016-05-03,Giro pomeridiano,Ride,4067,4609,34138.6,149.8,675,65,,,,149,,strava_backfill,durata,564376282
2016-05-07,Orezzo - Col di Paste  (Scarico),Ride,8129,8941,49946.8,660.1,1467,130,,,,162,,strava_backfill,durata,568027315
2016-05-16,Orezzo - Ghisallo - Orezzo,Ride,23984,26094,174222.0,1789.0,3687,383,,,,138,,strava_backfill,durata,577986000
2016-05-21,Coppa Asteria,Ride,21149,23389,113554.0,2688.0,3095,337,,,,131,,strava_backfill,durata,583149269
2016-07-09,Edolo - Gavia - Mortirolo - Edolo,Ride,22686,27401,125672.0,3227.0,3557,362,,,,141,,strava_backfill,durata,635281744
2017-01-09,Rulli 1,Ride,4800,4800,40000.0,0,0,77,,,,,,strava_backfill,durata,826444814
2017-01-11,Rulli 2 (Cardio),Ride,5400,5400,45000.0,200.0,0,86,,,,,,strava_backfill,durata,828864157
2017-01-15,Rulli 3,Ride,7200,7200,60000.0,100.0,0,115,,,,,,strava_backfill,durata,832908681
2017-01-18,Rulli 4 (cardio),Ride,5400,5400,47500.0,150.0,0,86,,,,,,strava_backfill,durata,836457640
2017-01-20,Rulli 5,Ride,5400,5400,47300.0,0,0,86,,,,,,strava_backfill,durata,838310589
2017-01-22,Rulli 6,Ride,6600,6600,60000.0,0,0,105,,,,,,strava_backfill,durata,840716146
2017-01-24,Rulli 7,Ride,3600,3600,35000.0,0,0,57,,,,,,strava_backfill,durata,842831290
2017-01-25,Rulli 8 (Cardio),Ride,5340,5340,46000.0,0,0,85,,,,,,strava_backfill,durata,844065686
2017-01-28,Finally out! (Abbandonato dal Garmin),Ride,7800,7800,66000.0,0,0,124,,,,,,strava_backfill,durata,846820516
2017-02-01,Rulli 9 (Cardio finale),Ride,9000,9000,75000.0,0,0,144,,,,,,strava_backfill,durata,851784410
2017-02-05,Rulli 10,Ride,7200,7200,60000.0,0,0,115,,,,,,strava_backfill,durata,856222731
2017-02-07,Rulli 11,Ride,3600,3600,34000.0,0,0,57,,,,,,strava_backfill,durata,858307778
2017-02-09,Rulli 12,Ride,5400,5400,47000.0,0,0,86,,,,,,strava_backfill,durata,860609065
2017-02-11,Rulli 13,Ride,6300,6300,55000.0,0,0,101,,,,,,strava_backfill,durata,862816267
2017-02-15,Rulli 14 (e poi ci mettiamo anche un po' di squash extra),Ride,8100,8100,70000.0,0,0,129,,,,,,strava_backfill,durata,867627184
2017-02-20,Rulli 15,Ride,5400,5400,47700.0,0,0,86,,,,,,strava_backfill,durata,873442050
2017-02-23,Rulli 16,Ride,6600,6600,60000.0,0,0,105,,,,,,strava_backfill,durata,876946030
2017-02-27,Rulli 17,Ride,5400,5400,47700.0,0,0,86,,,,,,strava_backfill,durata,881761525
2017-03-01,Rulli 18,Ride,7200,7200,60000.0,0,0,115,,,,,,strava_backfill,durata,883844068
2017-03-04,Spaak Bianche (si tira in fronte al gruppo!),Ride,12285,13335,97089.2,92.0,1767,196,,,,129,,strava_backfill,durata,887173322
2017-03-08,Rulli 19,Ride,7200,7200,60000.0,0,0,115,,,,,,strava_backfill,durata,892368223
2017-03-15,Rulli 20 (when you are busy but Flanders don't really care),Ride,5400,5400,47000.0,0,0,86,,,,,,strava_backfill,durata,901371706
