month,dish_id,kcal_lo,kcal_hi
2024-08,oat_frutti_bosco,550,1000
2024-08,pizza_semplice,550,1000
2024-08,stufato_fagioli_pane,550,1000
2024-08,patate_verdure,550,1000
2024-09,vellutata_pane,600,1050
2024-09,penne_integrali_cremose,600,1050
2024-09,cereali_ceci,600,1050
2024-09,riso_carne,600,1050
2024-09,piadina_crudo_rucola,600,1050
2024-10,lasagne_verdure,600,1050
2024-10,cereali_ceci,600,1050
2024-10,pizza_semplice,600,1050
2024-10,dolce_yogurt_cacao,600,1050
2024-11,risotto,600,1000
2024-11,ravioli,600,1000
2024-11,penne_integrali_cremose,600,1000
2024-11,torta_salata_frittata,600,1000
2024-12,penne_integrali_cremose,550,950
2024-12,dolce_pasticceria,550,950
2024-12,ristorante_festivo,550,950
2025-01,oat_frutti_bosco,500,1050
2025-01,risotto,500,1050
2025-01,bowl_riso_stufato,500,1050
2025-01,dolce_pasticceria,500,1050
2025-02,zuppa_lenticchie,450,800
2025-02,uova_pane_zuppa,450,800
2025-02,torta_salata_frittata,450,800
2025-03,lenticchie_cereali_verdure,500,850
2025-03,quinoa_legumi_patate,500,850
2025-03,patate_dolci_forno,500,850
2025-04,salumi_insalata,650,1100
2025-04,tagliatelle_ragu,650,1100
2025-04,torta_salata_frittata,650,1100
2025-05,pizza_burrata_crudo,700,1200
2025-05,torta_semplice_dolce,700,1200
2025-05,salumi_insalata,700,1200
2025-06,pesce_contorno,600,1100
2025-06,insalata_pasta,600,1100
2025-06,colazione_alpina,600,1100
2025-06,dolce_pasticceria,600,1100
2025-07,pizza_semplice,700,1200
2025-07,insalata_pasta,700,1200
2025-07,torta_semplice_dolce,700,1200
2025-08,insalata_uova_segale,500,1050
2025-08,dolce_pasticceria,500,1050
2025-08,arrosticini_pane,500,1050
2025-09,curry_verdure,450,850
2025-09,panino_bar,450,850
2025-09,vellutata_pane,450,850
2025-10,uova_strapazzate_pane,450,950
2025-10,bowl_cereali_insalata,450,950
2025-10,vellutata_pane,450,950
2025-10,formaggi_dolci_bar,450,950
2025-11,ravioli,700,1300
2025-11,risotto,700,1300
2025-11,bistecca_patate,700,1300
2025-11,vellutata_pane,700,1300
2025-12,polenta_brasato,650,1250
2025-12,zuppa_lenticchie,650,1250
2025-12,ristorante_festivo,650,1250
2026-01,pizza_semplice,500,1050
2026-01,insalata_pomodori_feta,500,1050
2026-01,dolce_pasticceria,500,1050
2026-01,riso_carne,500,1050
2026-02,bowl_riso_stufato,500,950
2026-02,zuppa_lenticchie,500,950
2026-02,torta_semplice_dolce,500,950
2026-03,lenticchie_cereali_verdure,450,800
2026-03,insalata_pomodori_feta,450,800
2026-03,uova_pane_zuppa,450,800
2026-04,pizza_semplice,500,1000
2026-04,pasta_patate_dolci,500,1000
2026-04,toast_uova_legumi,500,1000
2026-05,penne_integrali_cremose,500,900
2026-05,insalata_pomodori,500,900
2026-05,bowl_cereali_insalata,500,900
2026-06,bowl_cereali_insalata,550,1200
2026-06,pasto_bar_ciclismo,550,1200
2026-06,pizza_burrata_crudo,550,1200
2026-06,dolce_pasticceria,550,1200
2026-07,lenticchie_verdure_melone,450,850
2026-07,patate_dolci_forno,450,850
2026-07,frittata_verdure,450,850
2026-08,stufato_fagioli_pane,450,850
2026-08,insalata_pomodori,450,850
2026-08,torta_salata_frittata,450,850
2026-08,crostata_dolce,450,850
