date,Faecalibacterium,Bacteroides,Prevotella,Bifidobacterium,Roseburia,Blautia,Ruminococcus,Eubacterium,Akkermansia,Lactobacillus,Altri,drv_fiber,drv_plants,drv_ferment,drv_upf,drv_animal
2024-08-10,17.31,6.07,15.03,7.89,10.03,7.91,8.4,8.16,3.61,1.23,14.35,1.0,0.367,0.238,0.26,0.15
2024-08-11,17.31,6.07,15.03,7.89,10.03,7.91,8.4,8.16,3.61,1.23,14.35,1.0,0.367,0.238,0.26,0.15
2024-08-12,17.31,6.07,15.03,7.89,10.03,7.91,8.4,8.16,3.61,1.23,14.35,1.0,0.367,0.238,0.26,0.15
2024-08-13,17.31,6.07,15.03,7.89,10.03,7.91,8.4,8.16,3.61,1.23,14.35,1.0,0.367,0.238,0.26,0.15
2024-08-14,17.33,5.9,15.5,7.73,10.03,7.9,8.41,8.13,3.64,1.2,14.23,1.0,0.393,0.228,0.269,0.125
2024-08-15,17.36,5.76,15.69,7.91,10.0,7.87,8.37,8.08,3.67,1.26,14.02,1.0,0.422,0.281,0.267,0.116
2024-08-16,17.4,5.67,15.98,7.77,10.0,7.87,8.38,8.07,3.7,1.23,13.93,1.0,0.443,0.267,0.272,0.103
2024-08-17,17.41,5.6,16.07,7.9,9.98,7.85,8.35,8.04,3.72,1.28,13.81,1.0,0.458,0.302,0.27,0.099
2024-08-18,17.44,5.55,16.26,7.78,9.98,7.86,8.36,8.04,3.73,1.25,13.76,1.0,0.47,0.289,0.274,0.09
2024-08-19,17.49,5.56,16.24,7.74,10.0,7.88,8.36,8.04,3.75,1.24,13.72,1.0,0.48,0.284,0.272,0.096
2024-08-20,17.53,5.56,16.23,7.7,10.01,7.89,8.36,8.04,3.77,1.23,13.68,1.0,0.488,0.28,0.271,0.101
2024-08-21,17.53,5.53,16.26,7.79,9.99,7.88,8.34,8.02,3.77,1.26,13.62,1.0,0.494,0.302,0.27,0.099
2024-08-22,17.53,5.49,16.38,7.72,9.99,7.88,8.35,8.02,3.78,1.24,13.61,1.0,0.5,0.293,0.272,0.093
2024-08-23,17.53,5.47,16.4,7.8,9.98,7.86,8.34,8.01,3.78,1.27,13.56,1.0,0.505,0.311,0.271,0.091
2024-08-24,17.54,5.44,16.5,7.74,9.98,7.87,8.34,8.01,3.79,1.25,13.55,1.0,0.509,0.303,0.273,0.087
2024-08-25,17.53,5.42,16.51,7.8,9.97,7.86,8.33,7.99,3.79,1.27,13.51,1.0,0.512,0.318,0.272,0.086
2024-08-26,17.56,5.44,16.48,7.78,9.98,7.87,8.33,8.0,3.8,1.26,13.5,1.0,0.516,0.314,0.272,0.089
2024-08-27,17.58,5.45,16.46,7.75,9.99,7.88,8.33,8.0,3.81,1.26,13.49,1.0,0.519,0.309,0.271,0.093
2024-08-28,17.58,5.43,16.53,7.71,9.99,7.88,8.34,8.0,3.81,1.25,13.49,1.0,0.521,0.303,0.273,0.089
2024-08-29,17.58,5.42,16.54,7.76,9.98,7.87,8.33,7.99,3.81,1.26,13.46,1.0,0.523,0.315,0.272,0.088
2024-08-30,17.58,5.4,16.6,7.72,9.98,7.87,8.33,7.99,3.81,1.25,13.46,1.0,0.525,0.309,0.273,0.085
2024-08-31,17.58,5.39,16.6,7.77,9.98,7.86,8.32,7.98,3.82,1.27,13.44,1.0,0.527,0.32,0.273,0.084
2024-09-01,17.58,5.39,16.64,7.73,9.98,7.87,8.33,7.98,3.82,1.26,13.42,1.0,0.532,0.315,0.275,0.085
2024-09-02,17.61,5.39,16.63,7.7,9.98,7.88,8.33,7.98,3.83,1.25,13.41,1.0,0.536,0.312,0.274,0.087
2024-09-03,17.63,5.4,16.62,7.68,9.99,7.89,8.33,7.99,3.84,1.25,13.39,1.0,0.54,0.309,0.274,0.09
2024-09-04,17.66,5.39,16.67,7.62,10.0,7.9,8.34,7.99,3.85,1.23,13.37,1.0,0.546,0.3,0.274,0.09
