date,kcal,protein_g,carb_g,sugar_g,fiber_g,fat_g,satfat_g,magnesium_mg,potassium_mg,sodium_mg,vit_index,min_index,plants_day,plants_7d,tss,carb_target_g,carb_gap_g,microbiome,kcal_observed,kcal_assumed,n_items,cnt_avocado,cnt_lenticchie,cnt_uova,cnt_banane,cnt_ceci,cnt_avena,cnt_patate_dolci,cnt_caffe
2024-08-10,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,496,713,-436,59.1,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-08-11,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,44,308,-31,61.2,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-08-12,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,229,704,-427,63.4,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-08-13,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,67,357,-81,65.5,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-08-14,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,20,257,-171,60.8,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-08-15,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,113,456,-370,62.9,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-08-16,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,0,214,-128,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-08-17,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,391,713,-627,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-08-18,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,220,684,-599,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-08-19,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,360,713,-436,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-08-20,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,0,214,63,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-08-21,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,250,713,-627,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-08-22,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,246,713,-627,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
