food_id,name,kcal,share_pct,Faecalibacterium,Bacteroides,Prevotella,Bifidobacterium,Roseburia,Blautia,Ruminococcus,Eubacterium,Akkermansia,Lactobacillus
pane_integrale,Pane integrale,238896,13.43,15.761,-3.426,16.634,15.872,12.224,8.328,10.03,9.739,14.17,16.117
lenticchie_secche,Lenticchie secche,109338,6.15,10.143,-2.766,10.143,5.225,7.991,4.61,6.454,6.454,7.684,0.0
avena_fiocchi,Fiocchi d'avena,106385,5.98,6.875,-1.467,7.283,2.771,5.326,3.669,4.375,4.239,6.252,0.0
uovo_intero,Uovo intero medio,75972,4.27,0.0,3.631,-3.417,0.0,0.0,0.854,0.0,0.0,0.0,0.0
burro_arachidi_sgrassato,Burro di arachidi sgrassato in polvere,73824,4.15,3.568,-0.507,6.166,0.634,3.296,2.897,3.855,2.574,1.959,-1.453
banana,Banana media,70085,3.94,4.679,-1.027,4.927,1.941,3.631,2.458,2.977,2.894,4.18,0.0
patate_dolci,Patate dolci,68303,3.84,5.059,-1.206,5.233,2.277,3.947,2.532,3.219,3.161,4.278,0.0
yogurt_greco_0,Yogurt greco 0%,59077,3.32,0.0,2.823,-2.657,2.325,0.0,0.664,0.0,0.0,0.0,3.986
pizza_base,Pizza rossa senza mozzarella (base),56420,3.17,2.393,-0.265,2.78,2.721,1.799,1.604,1.523,1.393,2.803,3.806
marmellata_fragola,Marmellata di fragole,51988,2.92,0.111,0.625,2.268,-1.409,0.357,1.385,1.187,0.175,0.397,-1.023
pane_segale,Pane di segale scuro,40328,2.27,2.364,-0.457,2.552,2.45,1.821,1.325,1.504,1.442,2.271,2.721
avocado,Avocado,40128,2.26,3.319,-0.85,3.374,1.606,2.603,1.582,2.112,2.094,2.655,0.0
cioccolato_fondente_50,Cioccolato fondente 50%,39585,2.23,0.448,0.327,2.041,0.766,0.569,1.154,1.135,0.382,0.451,1.892
pizza_margherita,Pizza margherita intera,39100,2.2,1.55,-0.14,1.834,1.803,1.159,1.082,0.987,0.892,1.898,2.638
ceci_scatola,Ceci in scatola sgocciolati,37566,2.11,3.301,-0.875,3.326,1.653,2.595,1.534,2.101,2.092,2.565,0.0
gallette_farro,Gallette di farro,32695,1.84,0.493,0.22,1.792,-0.559,0.571,0.987,1.016,0.399,0.423,-0.643
cornetto_crema,Cornetto/pasticcino con crema,30304,1.7,0.067,0.364,1.324,-0.819,0.21,0.808,0.693,0.104,0.233,-0.596
pasta_semola,Pasta di semola secca,29731,1.67,1.237,-0.13,1.444,0.245,0.928,0.839,0.787,0.718,1.467,0.0
torta_semplice,"Torta da forno (crostata, ciambella)",29352,1.65,0.069,0.351,1.286,-0.791,0.206,0.784,0.674,0.103,0.227,-0.578
riso_bianco,Riso bianco crudo,23184,1.3,0.82,-0.042,1.002,0.08,0.606,0.615,0.522,0.462,1.085,0.0
latte_intero,Latte intero,22942,1.29,0.0,1.096,-1.032,0.0,0.0,0.258,0.0,0.0,0.0,0.0
carne_macinata_manzo,Carne macinata di manzo cotta,22025,1.24,0.0,1.053,-0.991,0.0,0.0,0.248,0.0,0.0,0.0,0.0
