date,Faecalibacterium,Bacteroides,Prevotella,Bifidobacterium,Roseburia,Blautia,Ruminococcus,Eubacterium,Akkermansia,Lactobacillus,Altri,drv_fiber,drv_plants,drv_ferment,drv_upf,drv_animal
2024-08-11,17.31,6.07,15.03,7.89,10.03,7.91,8.4,8.16,3.61,1.23,14.35,1.0,0.367,0.238,0.26,0.15
2024-08-12,17.31,6.07,15.03,7.89,10.03,7.91,8.4,8.16,3.61,1.23,14.35,1.0,0.367,0.238,0.26,0.15
2024-08-13,17.31,6.07,15.03,7.89,10.03,7.91,8.4,8.16,3.61,1.23,14.35,1.0,0.367,0.238,0.26,0.15
2024-08-14,17.34,5.86,15.61,7.69,10.02,7.9,8.41,8.13,3.65,1.2,14.2,1.0,0.4,0.225,0.271,0.118
2024-08-15,17.2,5.89,15.69,7.86,9.96,7.95,8.42,8.06,3.64,1.27,14.05,1.0,0.433,0.292,0.297,0.129
2024-08-16,17.27,5.76,16.04,7.7,9.97,7.94,8.42,8.05,3.67,1.23,13.94,1.0,0.456,0.274,0.298,0.111
2024-08-17,17.19,5.79,16.03,7.82,9.93,7.97,8.43,8.01,3.66,1.28,13.88,1.0,0.471,0.315,0.313,0.119
2024-08-18,17.24,5.7,16.25,7.71,9.94,7.96,8.43,8.01,3.69,1.25,13.82,1.0,0.483,0.299,0.311,0.107
2024-08-19,17.32,5.7,16.23,7.66,9.96,7.97,8.42,8.01,3.71,1.24,13.76,1.0,0.493,0.292,0.306,0.112
2024-08-20,17.38,5.69,16.22,7.63,9.98,7.98,8.42,8.02,3.74,1.23,13.72,1.0,0.5,0.287,0.301,0.116
2024-08-21,17.32,5.72,16.2,7.71,9.95,8.0,8.42,8.0,3.72,1.26,13.7,1.0,0.506,0.311,0.31,0.121
2024-08-22,17.34,5.67,16.33,7.64,9.96,7.99,8.42,8.0,3.73,1.24,13.67,1.0,0.511,0.301,0.31,0.113
2024-08-23,17.29,5.69,16.3,7.71,9.94,8.0,8.43,7.98,3.72,1.27,13.66,1.0,0.515,0.321,0.317,0.117
2024-08-24,17.31,5.65,16.41,7.65,9.94,7.99,8.43,7.98,3.73,1.25,13.64,1.0,0.519,0.311,0.316,0.11
2024-08-25,17.27,5.68,16.38,7.71,9.93,8.0,8.43,7.97,3.73,1.28,13.63,1.0,0.522,0.327,0.321,0.114
2024-08-26,17.31,5.67,16.36,7.69,9.94,8.01,8.43,7.98,3.74,1.27,13.61,1.0,0.525,0.322,0.318,0.117
2024-08-27,17.35,5.67,16.35,7.67,9.95,8.01,8.42,7.98,3.75,1.26,13.6,1.0,0.527,0.317,0.314,0.119
2024-08-28,17.36,5.64,16.43,7.63,9.95,8.0,8.42,7.98,3.76,1.25,13.59,1.0,0.53,0.31,0.314,0.113
2024-08-29,17.33,5.66,16.4,7.67,9.94,8.01,8.43,7.97,3.75,1.26,13.58,1.0,0.532,0.323,0.318,0.116
2024-08-30,17.34,5.63,16.47,7.63,9.94,8.0,8.43,7.97,3.75,1.25,13.57,1.0,0.533,0.316,0.317,0.112
2024-08-31,17.31,5.65,16.45,7.68,9.93,8.01,8.43,7.96,3.75,1.27,13.57,1.0,0.535,0.327,0.321,0.114
2024-09-01,17.33,5.64,16.49,7.64,9.94,8.02,8.43,7.96,3.75,1.26,13.55,1.0,0.539,0.322,0.321,0.113
2024-09-02,17.36,5.63,16.49,7.62,9.94,8.02,8.43,7.96,3.77,1.25,13.52,1.0,0.543,0.319,0.319,0.115
