date,kcal,protein_g,carb_g,sugar_g,fiber_g,fat_g,satfat_g,magnesium_mg,potassium_mg,sodium_mg,vit_index,min_index,plants_day,plants_7d,tss,carb_target_g,carb_gap_g,microbiome,kcal_observed,kcal_assumed,n_items,pct_plant,pct_dairy,pct_animal,pct_other,pct_upf,pct_kcal_protein,pct_kcal_carb,pct_kcal_fat,mono_g,poly_g,trans_g,fat_split_mis,cnt_avocado,cnt_lenticchie,cnt_uova,cnt_banane,cnt_ceci,cnt_avena,cnt_patate_dolci,cnt_caffe
2024-06-04,2848,173.6,421.4,123.7,82.8,68.1,16.1,743,4848,4196,76.7,100.0,12,12,325,855,-434,62.5,2848,0,18,86.0,4.5,7.4,2.1,2.1,23.2,56.3,20.5,22.1,14.84,0.41,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-05,5260,268.5,666.2,297.4,91.5,195.4,81.0,802,6066,5226,91.3,100.0,16,19,281,815,-149,64.3,5260,0,21,64.0,18.0,16.1,1.9,34.4,19.5,48.5,32.0,47.9,22.65,1.81,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-06,3710,223.1,520.6,199.4,91.4,101.0,30.0,944,7395,5031,91.0,100.0,17,25,166,569,-48,79.3,3710,0,22,77.4,4.9,8.8,8.9,18.2,23.0,53.6,23.4,32.97,19.46,0.58,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-07,3348,199.1,467.8,155.5,78.3,94.6,34.3,722,4975,7492,89.0,100.0,17,31,50,321,147,84.6,3348,0,15,85.9,0.0,3.8,10.3,29.9,22.6,53.2,24.2,22.3,10.96,0.53,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-08,5471,246.8,716.3,287.1,71.9,194.7,67.2,1180,7293,6713,98.3,100.0,16,36,539,855,-139,84.7,5471,0,17,71.9,0.0,28.1,0.0,29.6,17.6,51.1,31.3,75.2,26.13,4.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-09,5249,241.3,744.0,250.6,93.1,155.1,55.5,1159,8118,6330,96.0,100.0,16,38,421,855,-112,89.3,5249,0,25,79.1,5.1,15.3,0.5,21.5,18.1,55.8,26.2,57.18,22.71,2.93,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-10,3556,167.2,517.7,215.3,48.5,100.5,41.0,521,4310,4969,83.3,100.0,13,41,243,734,-216,86.8,3556,0,18,78.1,15.7,0.0,6.2,36.7,18.4,56.8,24.8,21.4,19.39,1.28,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-11,2331,136.7,351.7,170.2,65.2,55.5,11.6,660,6551,3232,87.1,100.0,12,40,0,214,138,97.9,2331,0,11,95.8,4.2,0.0,0.0,0.0,22.3,57.4,20.3,19.63,13.49,0.26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-12,3662,211.3,543.8,223.3,73.9,83.7,25.4,924,7918,5845,91.0,100.0,18,38,119,468,75,86.4,3662,0,18,92.6,4.2,0.0,3.3,38.3,22.4,57.6,20.0,20.07,17.47,0.43,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-13,3295,187.6,421.3,159.4,69.2,111.8,30.9,942,7088,3195,94.3,100.0,18,40,146,526,-105,91.8,3295,0,22,59.0,17.5,17.5,6.0,20.2,21.8,49.0,29.2,39.05,20.8,0.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-14,4405,227.6,582.2,210.1,91.3,147.7,40.0,833,6388,6139,86.6,100.0,20,41,296,847,-265,83.4,4405,0,25,80.6,4.9,2.6,11.9,48.1,19.9,51.0,29.1,62.08,22.3,2.37,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-15,4489,217.5,684.2,212.6,95.6,118.2,42.7,1139,9372,4662,100.0,100.0,17,41,86,398,286,99.2,4489,0,23,83.3,7.9,6.5,2.3,2.6,18.6,58.6,22.8,34.18,18.05,1.36,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-16,5536,225.5,954.0,422.6,112.6,120.5,32.9,984,8352,7762,84.9,100.0,15,40,550,855,99,91.3,5536,0,22,76.7,8.7,10.3,4.3,29.0,15.5,65.8,18.7,27.71,15.37,0.24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-17,3742,217.7,534.2,203.1,90.8,99.0,17.7,882,10210,5280,91.7,100.0,17,39,97,421,113,98.6,3742,0,22,78.4,11.7,3.7,6.2,4.5,22.3,54.8,22.9,29.04,26.22,0.09,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-18,4260,256.3,549.9,204.7,72.4,129.1,51.9,1066,8411,4284,91.5,100.0,16,39,118,466,84,98.1,4260,0,28,48.1,2.1,43.0,6.8,6.3,23.4,50.1,26.5,22.53,21.36,0.95,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
